Кандзи,Значение,On,Kun,Номер,例,Level
童,ребёнок,ドウ,―,852,,2
宇,вселенная; мир; космос ,ウ,,853,,2
柱,столб,チュウ,はしら,854,,2
含,содержать ,ガン,ふく-む,855,,2
防,предотвращать; обороняться; защищаться ,ボウ,ふせ-ぐ,856,,2
算,считать,サン,―,857,,3
操,maneuver,,,858,,
遅,поздний; медленный,チ,おく-れる,859,,4
則,правила,ソク,―,860,,3
畑,поле,―,はたけ・はた,861,,2
干,сухой,カン,ひ-る・ほ-す,862,,2
濃,густой; крепкий; темный,ノウ,こ-い,863,,2
乳,молоко; грудь; вымя ,ニュウ,ちち・ち,864,,2
財,финансы,ザイ,—,865,,3
幼,младенец; младенческий; детский; незрелый ,ヨウ,おさな-い,866,,2
練,тренироваться; практика,レン,ねる,867,,4
専,специальный; исключительно,セン,もっぱ-ら,868,,2
偶,время от времени; нечасто,グウ,たま,869,,2
停,останавливаться,テイ,と-まる,870,,3
届,заявлять; уведомлять; доставлять,カイ,とど-ける,871,,2
鋭,острый,エイ,するど-い,872,,2
授,даровать; обучать,ジュ,さずける,873,,
築,строить; сооружать,チク,きず-く,874,,3
針,игла; шип; колючка; стрелка,シン,はり,875,,2
略,сокращение; аббревиатура,リャク,ほぼ,876,,3
封,запечатывать; запечатывание,フウ・ホウ,ふう-じる,877,,2
康,мир,,,878,,
汚,грязный,オ,けが-す・よご-す・きたな-い,879,,2
狭,cramped,,,880,,
孫,внук,ソン,まご,881,,3
緑,зелёный,リョク,みどり,882,,3
厚,толстый (о книгах); добрый; сердечный,コウ,あつ-い,883,,3
標,указатель,,,884,,
靴,обувь; ботинки,カ,くつ,885,,2
拾,подбирать; находить,シュウ,ひろ-う,886,,4
汗,пот ,カン ,あせ,887,,2
粉,мука,フン,こ・こな,888,,2
貨,Монета; деньги; товары,カ,—,889,,2
械,хитроумное изобретение,カイ,—,890,,2
悩,страдать; мучаться; мучительный,ノウ,なや-む・なや-ましい,891,,2
卒,выпускаться,ソツ,—,892,,3
祈,молитва; молиться,キ,いの-る・いの-り,893,,2
占,гадать ,セン,し-める・うらな-う ,894,,2
営,бизнес; дело; заниматься бизнесом; управлять,エイ,いとな-み・いとな-む,895,,3
札,ярлык; бирка,サツ,ふだ,896,,2
恵,favor,,,897,,
管,труба,カン,くだ,898,,3
氷,лёд,ヒョウ,こおり,899,,3
乾,сухой; сохнуть; сушить; осушать,カン・ケン,かわ-く・ひ-る・かわ-かす・ほ-す,900,,2
偉,великий; выдающийся; замечательный; сильный,イ,えら-い,901,,2
