項目,言葉,読み方,翻訳,例,例の翻訳,,内容の読み,同,同の読み方,対,対の読み方,
,徒歩,,,駅から徒歩５分。,,,,,,,,
,助手席,,,,,,,,,,,
,急ブレーキ,,,安全のため、急ブレーキを踏む場合もあります。,,,,,,,,
,車輪,,,自転車の車輪にスカートがひっかかってしまった。,,,,,,,,
,時刻表,,,,,,,,,,,
,ラッシュ,,,通勤ラッシュ,,,,,,,,
,車掌,,,この電車で行けるのかなあ。あそこに車掌さんがいるから聞いてみよう。,,,,,,,,
,吊り革,,,急ブレーキを踏むことがあるから、吊革につかまっていたほうがいいよ。,,,,,,,,
,乗車券,,,<車掌>乗車券を拝見します。,,,,,,,,
,通過(する),,,次の急行列車は、当駅を通過します。,,,,,,,,
,乗り越す,,,乗り越しした分を精算しないと。,,,,,,,,
,乗り過ごす,,,本に夢中になっていて、うっかり乗り過ごしてしまった。,,,,,,,,
,乗り継ぐ,,,新幹線じゃなくても、電車を上手く乗り継げば、さんなに時間かからないですよ。,,,,,,,,
,脱線(する),,,カーブでスピードを落とさないと、脱線することもあり得る。,,,,,,,,
,人通り,,,駅前はやっぱり人通りが多いね。,,,,,,,,
,行き来,ゆきき/いきき,,お互いの家を行き来するうちに、自然と結婚について考えるようになりました。,,,,,,,,
,行き帰り,,,最近は運動不足で、会社の行き帰りにちょっと歩くだけです。,,,,,,,,
,訪れる,,,この工場には、時々、外国の方も見学に訪れる。,,,,,,,,
,引き返す,,,<車の中>大変! 財布を忘れたみたい。引き返してもらえる?,,,,,,,,
,通りかかる,,,おばあさんが倒れていのを通りかかった男性が見つけて、すぐ救急車を呼んだそうです。◇その店の前を通りかかると、中から陽気な音楽が聞こえてきた。,,,,,,,,
,横切る,,,目の前を鳥が横切ってびっくりした。,,,,,,,,
,すれ違う,,,「林さんは2、3分前に帰ったところだよ」「え、じゃ、どこかですれ違ったんだ。残念」,,,,,,,,
,前進(する),,,風が強くて、なかなか前進できない。,,,,,,,,
,移る,,,ここ、うるさいから、向こうの席に移ろう。◇子供の風邪が移ったみたいだ。,,,,,,,,
,留まる,,,もう少しここに止まっていたけど、もう行かないと。,,,,,,,,
,寄る,,,あと５分か・・・・・。郵便局に寄るつもりだったけど、無理だな。,,,,,,,,
,寄せる,,,荷物をもうちょっと壁に寄せてくれる?◇今回の調査には、多くの研究者が関心を寄せている。,,,,,,,,
,近寄る,,,コット近寄ってよくみて。それ、虫じゃないみたいなんだよ。,,,,,,,,
,接近(する),,,台風12号は、今夜にも九州に接近する見込みです。,,,,,,,,
,どく,,,そこにいると通れないから、ちょっとどいてください。,,,,,,,,
,どける,,,邪魔だから、ちょっとこの箱、どけてくれない?,,,,,,,,
,ずらす,,,都合が悪くなったので、歯医者の予約を１時ずらしてもらった。◇ここに置くと邪魔になるから、ちょっとずらそう。,,,,,,,,
,それる,,,シュートをしたけど、ちょっと上にそれてしまった。◇話はちょっとそれてしまったけど、要するに反対だということです。,,,,,,,,
,よける,,,あの人、すごいいきおいで走ってくるから、よけられなくてぶつかちゃったよ。,,,,,,,,
,出入り,でいり/ではいり,,ここは人の出入りが激しいから、裏から荷物を入れましょう。,,,,,,,,
,持ち込む,,,<飛行機で>このバッグは大きいすぎて、機内に持ち込むことができなかった。,,,,,,,,
,持ち込み,,,会場内への飲み物持ち込みは禁じられています。,,,,,,,,
,上京(する),,,私は高校卒業と同時に上京しました。,,,,,,,,
,行方,,,現在も、犯人の行方はわかっていない。◇行方不明。,,,,,,,,
建物・施設・部屋,設計(する),,,この劇場は、有名な建築家が設計したそうだ。,,,,,,,,
,建てる,,,このお寺は約800年前に建てられたそうです。,,,,,,,,
,新築,,,<不動産屋で>新築か、なるべく新しいところがいいんですが。,,,,,,,,
,ワンルームマンション,,,ワンルームマンションなので、テレビもベッドも全部、同じ部屋におります。,,,,,,,,
,団地,,,住んでいた団地には、同じくらいの年の子がたくさんいました。,,,,,,,,
,住宅,,,この辺には住宅ばかりで、ほかに何もありません。◇住宅街、住宅ローン。,,,,,,,,
,住居,,,,,,,,,,,
,家屋,,,この町には伝統的な日本家屋が多く残っている。,,,,,,,,
,設備,,,エレベーターや駐車場などの設備も、マンションを選ぶときのポイントです。,,,,,,,,
,物置,,,しばらく使いそうもない物は物置に入れておこう。,,,,,,,,
,倉庫,,,,,,,,,,,
,車庫,,,車庫には、車のほか、自動車も2台置いています。,,,,,,,,
,小屋,,,あんなところに山小屋がある。ちょっと行ってみよう。,,,,,,,,
,温室,,,この温室では、イチゴを作っています。,,,,,,,,
,和室,,,このホテルには、和室と洋室、両方ある。,,,,,,,,
,洋室,,,,,,,,,,,
,座敷,,,座敷とテーブルの席と、どっちにする?,,,,,,,,
,ふすま,,,ふすまを閉めるときは静かにお願いします。,,襖,,,,,,
,押し入れ,,,<旅館で>押入にまだ毛布がありますよ。,,,,,,,,
,お手洗い,,,「すみません、お手洗いはどちらですか」「あちらの奥になります」,,,,,,,,
,流し,,,食べ終わったら、食器は流しに置いといて。,,,,,,,,
,門,,,門の前でみんなで写真を撮りましょう。,,,,,,,,
,裏口,,,表は人が多いので、裏口から出てください。,,,,,,,,
,塀,,,塀の上で猫が気持ちよさそうに寝ている。,,,,,,,,
,垣根,,,その家は高い垣根に囲まれていて、中がほとんど見えない。,,,,,,,,
,井戸,,,昔はみんな、この井戸まで水をくみに来たそうだ。,,,,,,,,
,地下水,,,この辺りでは、農業用に地下水が利用されている。,,,,,,,,
,下水,,,下水処理場、下水工事。,,,,,,,,
,噴水,,,,,,,,,,,
,煙突,,,,,,,,,,,
,電柱,,,,,,,,,,,
,塔,,,,,,,,,,,
,寺院,,,そこは歴史のある街で、古い仏教の寺院がいくそかあった。,,,,,,,,
,名刺,,,ここは桜の名所で、花見のシーズンはとてもにぎやかになはます。,,,,,,,,
,役所,,,役所に行けば、必要な手続きがわかるんじゃない?,,,,,,,,
,商店,,,駅に降りてしばらく、商店が続く通りを歩いてみた。◇商店街,,,,,,,,
,シャッター,,,すみません。シャッターを押していただけませんか。◇シャッターを開ける。◇シャッターを閉める、シャッターを下ろす。,,,,,,,,
読む・書く・菊・話す,文書,,,文書で質問する、ビジネス文書。,,,,,,,,
,文献,,,古い文献を調べる。,,,,,,,,
,読み,,,漢字を読む。,,,,,,,,
,書き上げる,,,何とか締め切りまでに論文を書き上げた。,,,,,,,,
,書き取る,,,ノートに書き取る。,,,,,,,,
,書き取り,,,漢字の書取りのテスト。,,,,,,,,
,書き直す,,,字を間違えたので、最初から書き直した。,,,,,,,,
,書き留める,,,思いついたアイデアは、手帳に書き留めていた。,,,,,,,,
,描く,,,子供の頃、将来にどんな夢を描いていましたか。,,,,,,,,
,表示(する),,,カロリー表示。,,,,,,,,
,投書,,,新聞に投書する。,,,,,,,,
,推薦状,,,,,,,,,,,
,聞き手,,,,,,,,,,,
,聞き逃す,,,あ、今のところ、聞き逃しちゃった。何て言ったの?,,,,,,,,
